pic_name,detect,ground,new.match,miss.match,source
T32L75_W3_A4_R5_P267_g44_3,61,45,16,0,T32L75.csv
T32L75_W3_A4_R5_P267_g44_8,51,36,16,1,T32L75.csv
T32L75_W3_A4_R5_P271_g55_4,52,47,6,1,T32L75.csv
T32L75_W3_A4_R5_P271_g55_7,71,61,14,4,T32L75.csv
T32L75_W3_A4_R5_P273_g12_3,41,33,9,1,T32L75.csv
T32L75_W3_A4_R5_P273_g12_6,57,51,8,2,T32L75.csv
T32L75_W3_A4_R5_P274_g50_1,52,52,5,5,T32L75.csv
T32L75_W3_A4_R5_P274_g50_6,60,55,5,0,T32L75.csv
T32L75_W3_A4_R5_P277_g16_4,61,59,4,2,T32L75.csv
T32L75_W3_A4_R5_P277_g16_7,81,77,10,6,T32L75.csv
T32L75_W3_A4_R5_P278_g35_4,68,54,18,4,T32L75.csv
T32L75_W3_A4_R5_P278_g35_5,91,52,40,1,T32L75.csv
T32L75_W3_A4_R5_P280_g29_4,79,78,5,4,T32L75.csv
T32L75_W3_A4_R5_P280_g29_5,78,57,22,1,T32L75.csv
T32L75_W3_A4_R5_P283_g48_4,48,37,11,0,T32L75.csv
T32L75_W3_A4_R5_P283_g48_8,54,49,5,0,T32L75.csv
T32L75_W3_A4_R5_P292_g31_1,60,55,5,0,T32L75.csv
T32L75_W3_A4_R5_P292_g31_7,52,50,4,2,T32L75.csv
T32L75_W3_A4_R5_P296_g26_4,85,62,28,5,T32L75.csv
T32L75_W3_A4_R5_P296_g26_5,81,55,31,5,T32L75.csv
T32L75_W3_A4_R5_P303_g61_2,53,40,13,0,T32L75.csv
T32L75_W3_A4_R5_P303_g61_6,68,51,18,1,T32L75.csv
T32L75_W3_A4_R5_P305_g60_3,35,25,10,0,T32L75.csv
T32L75_W3_A4_R5_P305_g60_7,54,37,20,3,T32L75.csv
T32L75_W3_A4_R5_P308_g54_2,65,57,9,1,T32L75.csv
T32L75_W3_A4_R5_P308_g54_6,58,55,13,10,T32L75.csv
T32L75_W3_A4_R5_P314_g49_1,65,57,11,3,T32L75.csv
T32L75_W3_A4_R5_P314_g49_7,56,48,9,1,T32L75.csv
T32L75_W3_A4_R5_P317_g18_3,56,57,6,7,T32L75.csv
T32L75_W3_A4_R5_P317_g18_6,67,43,27,3,T32L75.csv
T32L75_W3_A4_R5_P319_g47_4,62,50,13,1,T32L75.csv
T32L75_W3_A4_R5_P319_g47_6,70,47,24,1,T32L75.csv
T32L75_W3_A4_R5_P320_g13_4,75,81,11,17,T32L75.csv
T32L75_W3_A4_R5_P320_g13_6,55,54,11,10,T32L75.csv
T32L75_W3_A4_R5_P321_g92_1,73,55,24,6,T32L75.csv
T32L75_W3_A4_R5_P321_g92_6,53,50,5,2,T32L75.csv
T32L75_W3_A4_R5_P322_g99_2,53,42,15,4,T32L75.csv
T32L75_W3_A4_R5_P322_g99_6,52,39,14,1,T32L75.csv
T32L75_W3_A4_R6_P327_g118_1,39,37,6,4,T32L75.csv
T32L75_W3_A4_R6_P327_g118_6,73,48,29,4,T32L75.csv
T32L75_W3_A4_R6_P328_g161_4,88,83,7,2,T32L75.csv
T32L75_W3_A4_R6_P328_g161_8,76,60,20,4,T32L75.csv
T32L75_W3_A4_R6_P330_g119_2,72,66,8,2,T32L75.csv
T32L75_W3_A4_R6_P330_g119_8,73,54,19,0,T32L75.csv
T32L75_W3_A4_R6_P331_g108_4,41,37,4,0,T32L75.csv
T32L75_W3_A4_R6_P331_g108_5,68,52,16,0,T32L75.csv
